Taxon	False_Positives	Non-Target_Taxa	Reason	F2	F6	F7	G2	G5	G7	J1	J3	J5	J8	K5	DB_R1	DB_R2	DB_R3	EB_21	Mean
Psectrocladius				0	0	0	0.178365334	0	0	0	0	0	0	0	0	0	0	0	0.01372041
Pseudocyrtolophosis				0	0.008732099	0	0.246563844	0	0	0.030719607	0.289495451	0	0.977802493	0.256708653	0	0	0	0	0.139232473
Pseudodendromonadales				60.77604999	15.07596926	20.38515211	31.98510125	51.16037589	71.85477828	66.99946241	18.98263027	75.96107447	85.37466982	22.77176889	50.38150434	40.94577093	28.93890675	100	47.12725445
Pseudodifflugia				0	1.886133426	0	0.598048473	0	0	0	9.181141439	0	0	0	0	0	0	0	0.897332564
Pseudoholophrya				0	0	0	0.131150981	0	0	0.168957837	0	0	0	0	0	0	0	0	0.023085294
Ptygura				0	19.14076144	55.20513536	14.02266289	0	0	1.26718378	0	0	0	0	0	0	0	0	6.89505719
Scenedesmus				0	0	0	0	0	0	0	0	0	0	0	1.157021348	15.40198585	0	0	1.273769784
Sphaerastrum				0	0	0	0.451159375	0	0	0.145918132	0	0	0	0	0	0	0	0	0.045929039
Staurastrum				0	0	0	0.713461337	0.238824568	0	0.076799017	0	0.060318482	0	0.023959474	0	0	0	0	0.085643298
Stenostomum				0	0.170275934	0.005581915	22.55796873	0	0	0.798709777	0	0	0	0	0	0	0	0	1.810195104
Stylonychia				0	0.013098149	0.161875523	0.503619767	0.025959192	0.003405763	1.528300438	0.227460711	0	0	0	0	0	0	0	0.189516888
Tetrahymena				0.133701497	0.039294446	0.061401061	0.167873256	0.083069415	0.105578639	0.153598034	0	0.020106161	0.01853654	0.003422782	0.378029798	0	0	0	0.08958551
Teuthophrys				0	19.18005589	0.97125314	0	0	0.003405763	0	0	0.032169857	0	0.16771632	0	0	0	0	1.565738536
Tremula				0	0.209570381	0.005581915	0.020984157	0.109028607	0	0	0.103391232	0	0.01853654	0.082146769	0	0	0	0	0.0422492
Uroleptus				0	0	0	0.010492078	0	0	0.023039705	0	0	0	0	0	0	0	0	0.002579368
Urotricha				0	0.528292001	0.245604242	0.199349491	0	0	0.529913217	0	0	0	0	0	0	0	0	0.115627612
Vampyrella				0	0	0.078146804	0.970517259	0	0	1.520620536	0.268817204	0	0	0	0	0	0	0	0.218315523
Vernalophrys				0	0	0	0	6.354810238	0.003405763	0	0	2.80682001	0.912924603	0.208789704	0	0	0	0	0.791288486
Volvox				0	0	0	0	0	0	0	0	0	0	0	1.571186346	2.875834357	0	0	0.342078516
Vorticella				0	0	0.915433994	3.289266604	0	0	0.81406958	25.06203474	0.004021232	0	1.29381161	0	0	0	0	2.413741366
Zooxanthella				0	0.008732099	0	0.20984157	0	0	0	0	0	0	0	0	0	0	0	0.016813359
