Taxon	False_Positives	Non-Target_Taxa	Reason	F2	F6	F7	G2	G5	G7	J1	J3	J5	J8	K5	Mean
Deltaproteobacteria		Yes	Non Eukaryote	0.159689	0.069401	0.045222	0.147414	0.14464	0.16117	0.055874	0.076647	0.207764	0.167431	0.111716	0.117954
Lepidosauria		Yes	Terrestrial only	0.060699	0.146241	0.187132	0.148894	0.114803	0.083318	0.18786	0.153638	0.117779	0.066959	0.053194	0.125356
Asteroidea	Yes		Marine only	0.089657	0.095567	0.123865	0.129513	0.173738	0.104641	0.149812	0.106907	0.133846	0.082527	0.060105	0.116765
Bryopsida		Yes	Terrestrial only	0.181425	0.075896	0.03679	0.086191	0.148904	0.140218	0.04295	0.054076	0.190365	0.126852	0.162777	0.111959
Tremellomycetes				0.099751	0.091096	0.063315	0.106039	0.215767	0.143013	0.06156	0.059417	0.199838	0.117702	0.077407	0.11172
Ostracoda				0.072366	0.097512	0.153185	0.148911	0.112	0.09351	0.17768	0.091495	0.099959	0.087196	0.062358	0.110898
Blastocladiomycetes				0.143843	0.03671	0.037424	0.080584	0.199703	0.142446	0.054146	0.04983	0.183514	0.137227	0.124388	0.105259
Cephalopoda	Yes		Marine only	0.061189	0.11266	0.162251	0.150915	0.102086	0.074028	0.134668	0.119481	0.118448	0.055574	0.056536	0.109226
Basidiobolomycetes				0.146637	0.03756	0.03628	0.071364	0.220259	0.122983	0.046042	0.049313	0.151751	0.150078	0.11383	0.099602
Entomophthoromycetes	Yes		Marine only	0.131663	0.04815	0.070091	0.05532	0.212707	0.125154	0.061216	0.063478	0.166584	0.124382	0.082013	0.101638
Echinoidea	Yes		Marine only	0.072952	0.096355	0.114853	0.110309	0.140918	0.085982	0.133765	0.097893	0.118834	0.094431	0.052822	0.102468
Rhabditophora				0.070592	0.115856	0.118861	0.201064	0.098967	0.080506	0.108744	0.08268	0.094765	0.06828	0.053107	0.102514
Enteropneusta	Yes		Marine only	0.072121	0.07897	0.119527	0.107862	0.142462	0.084171	0.102244	0.089021	0.095827	0.100695	0.059083	0.095129
Thecostraca				0.037337	0.079341	0.17134	0.136873	0.090479	0.061583	0.145462	0.071599	0.095621	0.083369	0.048348	0.093798
Ulvophyceae				0.181792	0.0627	0.02729	0.050089	0.129456	0.092411	0.036258	0.040668	0.140837	0.099872	0.133871	0.089537
Lingulata	Yes		Marine only	0.033814	0.102687	0.157948	0.154239	0.090254	0.038056	0.1406	0.106579	0.05644	0.060942	0.038676	0.091929
Polypodiopsida		Yes	Terrestrial only	0.109179	0.10849	0.046245	0.080939	0.115553	0.076548	0.046913	0.049566	0.133069	0.095173	0.091443	0.085795
Clitellata				0.056567	0.086274	0.112808	0.123383	0.098136	0.060372	0.117619	0.091439	0.062994	0.05473	0.050682	0.086027
Microbotryomycetes				0.101473	0.038289	0.032187	0.063261	0.141925	0.11434	0.040868	0.042633	0.164326	0.098828	0.074752	0.081405
Gymnolaemata				0.054306	0.093179	0.107081	0.105912	0.100146	0.049468	0.106326	0.119669	0.071545	0.052293	0.034072	0.08417
Leotiomycetes				0.076481	0.055177	0.03317	0.073831	0.118177	0.091225	0.051241	0.046459	0.141905	0.127332	0.051238	0.07389
Appendicularia	Yes		Marine only	0.069334	0.082626	0.038419	0.055413	0.108359	0.084253	0.133256	0.081758	0.078894	0.074273	0.053064	0.078538
Florideophyceae				0.09144	0.060056	0.042764	0.076142	0.119329	0.083405	0.045945	0.051096	0.124496	0.061923	0.093639	0.078831
Klebsormidiophyceae				0.111372	0.057886	0.020653	0.06029	0.087473	0.086102	0.039906	0.035115	0.143321	0.087666	0.0931	0.073522
Chondrichthyes	Yes		Marine only	0.047209	0.065325	0.095057	0.093549	0.107837	0.06077	0.1025	0.075291	0.0731	0.056235	0.044321	0.076496
Polycystinea	Yes		Marine only	0.146034	0.074287	0.035646	0.049414	0.074244	0.15605	0.036345	0.042369	0.084658	0.04358	0.07434	0.077339
Merostomata	Yes		Marine only	0.043286	0.067918	0.115313	0.110113	0.094184	0.042199	0.107696	0.076418	0.065148	0.042295	0.038793	0.076107
Neocallimastigomycetes				0.068122	0.065248	0.043388	0.075099	0.110981	0.063863	0.065174	0.042077	0.114346	0.097993	0.056787	0.070509
Cytophagia		Yes	Non Eukaryote	0.068799	0.037805	0.026144	0.054313	0.10438	0.086457	0.047372	0.039094	0.125784	0.110144	0.098096	0.068824
Charophyceae				0.101754	0.04494	0.021995	0.085621	0.087892	0.092515	0.029129	0.03603	0.127184	0.073335	0.082535	0.07096
Flavobacteriia		Yes	Non Eukaryote	0.05966	0.066133	0.042363	0.072741	0.087218	0.075553	0.051893	0.04995	0.114183	0.107427	0.045896	0.066559
Megaviricetes		Yes	Non Eukaryote	0.110859	0.056546	0.016451	0.046752	0.092547	0.094001	0.039702	0.024135	0.06828	0.074933	0.100871	0.065014
